Unnamed: 0,full_text,tweet_english
32,ibu kota nusantara jadi rintis terap transportasi cerdas syahrini keramas kost 2 divergent malam cabut nyawa,capital city of archipelago pioneers intelligent transportation application
33,harap masyarakat kalimantan timur ibu kota nusantara syahrini pegi boba keramas kost 2 magelang malam cabut nyawa siang,"hope that the people of East Kalimantan, the capital of the archipelago, Syahrini, go to Boba, wash your hair at boarding house 2 Magelang at night, take your life during the day"
34,pindah ibu kota nusantara dapat dukung penuh presiden jokowi langkah konkret hadap ubah iklim lingkung,Moving the capital city of the archipelago can fully support President Jokowi in concrete steps towards changing the environmental climate
35,sistem transportasi ikn buat kurang gantung masyarakat kendara pribadi bagaimana cara otorita ibu kota nusantara ikn sama dishub provinsi kalimantan timur sinergi rancang sistem transportasi,IKN transportation system to make people less dependent on private vehicles. How do the Indonesian capital authority IKN and the East Kalimantan provincial transportation department work together to design a transportation system?
36,tenang aja sobat nusantara didik ibu kota baru nanti gak bakal kalah kok jakarta tag syahrini shinee ex keramas,"Don't worry, archipelago friends, educate the new capital, then you won't lose, Jakarta tagged Syahrini Shinee ex shampoo"
37,kata menteri pupr total anggar rp 335 miliar bukan membangunpatungsoekarnohatta ibu kota nusantara ikn,"said the Minister of Public Works, the total budget of IDR 335 billion was not to build the Soekarnohatta statue, the capital of the archipelago."
38,tenang aja sobat nusantara didik ibu kota baru nanti gak bakal kalah kok jakarta tag syahrini shinee ex keramas,"Don't worry, archipelago friends, educate the new capital, then you won't lose, Jakarta tagged Syahrini Shinee ex shampoo"
39,1 helat hasil sepakat dana proyek infrastruktur air ibu kota nusantara ikn banten loh,"1 event as a result of agreeing to fund the water infrastructure project for the capital of the archipelago, IKN Banten, you know"
40,pasang 10 titik warga ikn jajal internet starlink super cepat warga ibu kota nusantara ikn jajal layan internet satelit starlink,"install 10 points, IKN residents try out super fast Starlink internet, residents of the capital city of the archipelago, IKN try out Starlink satellite internet services"
41,pindah ibu kota nusantara bawa dampak positif lingkung,Moving to the archipelago's capital has positive environmental impacts
42,presiden pandang pindah ibu kota nusantara langkah strategis bangun indonesia depan,The president sees moving the archipelago's capital as a strategic step to build Indonesia's future
43,ibu kota nusantara beri sempat daerah kembang pesat,The capital city of the archipelago has become an area of ​​rapid development
44,atrbpn wakil menteri agraria tata ruangwakil kepala badan tanah nasional wamen atrwaka bpn raja juli antoni pimpin rapat bahas ada tanah ibu kota nusantara ikn rapat langsung ruang rapat direktorat jenderal ada,atrbpn deputy minister of agrarian and spatial planning deputy head of the national land agency deputy minister atrwaka bpn raja juli antoni leads a meeting to discuss the existence of land for the capital city of the archipelago ikn direct meeting directorate general meeting room there is
45,proyek dapat persero maret 2024 antara proyek lanjut jalan sumbu bangsa sisi timur tahap ii ibu kota nusantara rdf plant rorotan dki jakarta jalan tol serang panimbang seksi 3b,"The project can be Persero March 2024, including the East Side of the Nation Axis Road Phase II project, the capital of the archipelago, RDF Plant Rorotan, DKI Jakarta, Serang Panimbang toll road, section 3B"
46,tenang aja sobat nusantara didik ibu kota baru nanti gak bakal kalah kok jakarta tag sering diem,"don't worry, my friends, the Indonesian archipelago will not lose to Jakarta, the tag is often silent"
47,harap masyarakat kalimantan timur ibu kota nusantara ong zakir naik boba pegi gen z sering uchiha libur diem,"I hope the people of East Kalimantan, the capital of the archipelago, Ong Zakir Naik Boba Goes to Gen Z, Uchiha often stays on holiday"
48,atrbpn wakil menteri agraria tata ruangwakil kepala badan tanah nasional wamen atrwaka bpn raja juli antoni pimpin rapat bahas ada tanah ibu kota nusantara ikn rapat langsung ruang rapat,atrbpn deputy minister of agrarian affairs and spatial planning deputy head of the national land agency deputy minister atrwaka bpn raja juli antoni leads a meeting to discuss the existence of land for the capital city of the archipelago ikn direct meeting meeting room
49,fasilitas pabean,customs facilities
50,wakil menteri atrwaka bpn raja juli antoni pimpin rapat bahas ada tanah ibu kota nusantara ikn rapat langsung ruang rapat direktorat jenderal ada tanah kembang tanah ditjen ptpp jakarta selasa 21052024,"Deputy Minister Atrwaka BPN Raja Juli Antoni chairs the meeting to discuss whether there is land for the capital of the archipelago at a direct meeting in the directorate general's meeting room, there is land for development, land at the Directorate General of PTPP Jakarta, Tuesday 21052024"
51,bangun ibu kota nusantara kalimantan timur bawa angin segar tag ong boba zakir naik 2024 m gege nyetrika pegang teguh zee gen z,"build the capital of the archipelago, East Kalimantan, bring fresh air tag ong boba zakir rise 2024 m gege ironing hold fast zee gen z"
52,raya hari merdeka republik indonesia 79 ibu kota nusantara langsung riah tag ong boba zakir naik 2024 m gege nyetrika pegang teguh zee gen z,Eid Independence Day of the Republic of Indonesia 79th capital of the archipelago immediately cheerful tag ong boba zakir rise 2024 m gege ironing hold fast zee gen z
53,pindah ibu kota nusantara wilayah sekitar alami kembang pesat,"Moving to the capital of the archipelago, the surrounding area is experiencing rapid development"
54,otorita ibu kota nusantara sosialisasi penting komunikasi lintas budaya ikn,archipelago capital authority important socialization of cross-cultural communication iKn
55,pindah ibu kota nusantara peluang besar kembang daya saing ekonomi indonesia,Moving to the capital city of the archipelago is a big opportunity to develop Indonesia's economic competitiveness
56,pindah ibu kota nusantara jadi salah satu prioritas utama perintah jokowi beri maju seluruh daerah indonesia,Moving the capital of the archipelago is one of the main priorities of Jokowi's orders to advance all regions of Indonesia
57,pindah ibu kota nusantara buka peluang bisnis baru warga tempat utama sektor pariwisata properti,Moving to the capital of the archipelago opens up new business opportunities for residents of the main property tourism sector
58,dasar bukti prasasti artefak hingga catat asing palembang pernah jadi ibu kota sriwijaya,"The basis of evidence from inscriptions, artifacts and foreign records, is that Palembang was once the capital of Srivijaya."
59,warga tempat partisipasi proses bangun ibu kota nusantara tingkat rasa milik tanggung jawab kota baru sebut,Residents of the place of participation in the process of building the archipelago's capital city have a sense of ownership and responsibility for the new city
60,harap masyarakat kalimantan timur ibu kota nusantara,"hope the people of East Kalimantan, the capital of the archipelago"
61,wakil menteri agraria tata ruangwakil kepala badan tanah nasional wamen atrwaka bpn raja juli antoni pimpin rapat bahas ada tanah ibu kota nusantara ikn,deputy minister of agrarian spatial planning deputy head of the national land agency wamen atrwaka bpn raja juli antoni chairs meeting to discuss land for the capital of the archipelago iKN
62,masdar terima letter to proceed investasi kpbu energi baru ibu kota nusantara zakir naik gojo gege putri kw gaco uchiha secret service taiwan ong hermione,Masdar receives letter to proceed PPP investment in new energy capital of the archipelago Zakir Naik Gojo Gege Putri KW Gaco Uchiha Secret Service Taiwan Ong Hermione
63,ibu kota nusantara tingkat ekonomi masyarakat umkm,"the capital city of the archipelago, the economic level of the MSME community"
64,luas ibu kota nusantara ikn 322429 hektare empat kali luas dki jakarta 252660 ha diri darat sisa upa air luas darat 25 bangun,"the area of ​​the capital city of the archipelago, IKN, is 322,429 hectares, four times the area of ​​DKI Jakarta, 252,660 ha of land, water remaining, land area 25 buildings"
65,kepala otorita papar strategi hadir air bersih ibu kota nusantara ong boba nyetrika gen z siang pegi,"head of authority explains strategy to provide clean water in the capital of the archipelago, ong boba irons gen z in the afternoon"
66,helat internasional bangun ibu kota nusantara dongkrak geliat industri terbang,international event builds archipelago's capital to boost the growth of the aviation industry
67,lihat isu ibu kota nusantara selalu ramai bincang kirakira bagaimana nasib dki jakarta apa dampak pindah ibu kota simak bahas lengkap,"look at the issue of the capital of the archipelago, there is always a lot of discussion, what is the fate of DKI Jakarta, what are the impacts of moving the capital, see the complete discussion"
68,atrbpn wakil menteri agraria tata ruangwakil kepala badan tanah nasional wamen atrwaka bpn raja juli antoni pimpin rapat bahas ada tanah ibu kota nusantara ikn,atrbpn deputy minister of agrarian spatial planning deputy head of national land agency wamen atrwaka bpn raja juli antoni chairs meeting to discuss land for the capital of the archipelago ikn
69,prabowo anggar 1 miliar dolar rp 16 triliun per tahun bangun ibu kota nusantara ikn jadi 30 miliar dolar 30 tahun 1 miliar dolar per tahun anggar negara tanggung jadi sangat yakin,Prabowo budgets 1 billion dollars IDR 16 trillion per year to build the archipelago's capital city to 30 billion dollars 30 years 1 billion dollars per year budget the state is responsible for being very confident
70,ibu kota nusantara beri sempat daerah kembang pesat,The capital city of the archipelago has become an area of ​​rapid development
71,sepakat dana sistempenyediaan air minum spam regional nota paham kena water supply infrastructure project ibu kota nusantara ikn menjadisebagian aksi nyata hasil world water forum ke10,agreed to fund the drinking water supply system regional spam memorandum of understanding regarding the water supply infrastructure project for the capital of the archipelago. IKN is part of the concrete actions resulting from the 10th world water forum
72,bangun ibu kota nusantara kalimantan timur bawa angin segar tag zakir naik pegi ong mandi citilink 2024 m suzy nadiem gen z nyetrika pagi,"wake up the capital of the archipelago, East Kalimantan, bring fresh air tag zakir rise pegi ong mandi citilink 2024 m suzy nadiem gen z morning ironing"
73,menteri pupr basuki hadimuljono aku mau pindah ibu kota nusantara ikn akses air bersih gtgt,"Minister of Public Works, Basuki Hadimuljono, I want to move to the capital of the archipelago, access to clean water, gtgt"
74,ada ibu kota nusantara ikn bagi wilayah daerah benuo taka camat paku kuat posisi desa penuh butuh pasar,"there is the capital of the archipelago, IKN for the Benuo Taka area, the sub-district head of Paku is strong, the village position is full of market needs"
75,ada ibu kota nusantara ikn bagi wilayah daerah benuo taka camat paku kuat posisi desa penuh butuh pasar,"there is the capital of the archipelago, IKN for the Benuo Taka area, the sub-district head of Paku is strong, the village position is full of market needs"
76,sepakat dana sistem sedia air minum spam regional nota paham kena water supply infrastructure project ibu kota nusantara ikn jadi bagi aksi nyata hasil world water forum ke10 yuk baca worldwaterforumpedia,"agree on funding for regional spam drinking water supply system memorandum of understanding regarding water supply infrastructure project capital city of the archipelago IKN so share real action on the results of the 10th world water forum, let's read worldwaterforumpedia"
77,pindah ibu kota nusantara solusi atas macet padat jakarta,Moving to the capital of the archipelago is a solution to Jakarta's heavy traffic jams
78,presiden jokowi yakin pindah ibu kota nusantara kuat tata kelola perintah lebih baik efektif indonesia,President Jokowi believes that moving the capital of the archipelago will make Indonesia's governance stronger and more effective
79,giat tunjuk musik tampil artis ibu kota selenggara wara wiri festival pt borneoland nusantara indonesia tempat lapang parkir lotte grosir jln gatot subroto kota medan hadir 3000 tiga ribu orang tonton,"actively performing music, performing artists from the capital, holding Wara Wiri Festival, PT Borneoland Nusantara Indonesia, lotte wholesale parking space, Jln Gatot Subroto, Medan City, attended by 3000 three thousand people watching"
80,dukung warga kalimantan pindah ibu kota nusantara,support Kalimantan residents to move to the capital of the archipelago
81,formasi baru ikn nusantara 100000 fresh graduate multitasking segera gabung bangun ibu kota baru,"new formation of IKN Nusantara 100,000 multitasking fresh graduates immediately join to build the new capital city"
82,menteri kerja umum rumah rakyat pupr basuki hadimuljono tekan penting infrastruktur sedia air bersih ibu kota nusantara ikn bahkan diri enggan pindah ikn fasilitas sedia jadi mau pindah kalau air,"Minister of Public Works, People's Home, PUPR, Basuki Hadimuljono, emphasized that it is important that infrastructure is ready for clean water, the capital of the archipelago, even though we are reluctant to move, the facilities are ready, so we want to move if there is water"
83,sepakat dana sistem sedia air minum spam regional nota paham kena water supply infrastructure project ibu kota nusantara ikn jadi bagi aksi nyata hasil,agreed to fund regional spam drinking water supply system memorandum of understanding regarding water supply infrastructure project capital city of the archipelago IKN so share real action results
84,ibu kota nusantara jadi pusat budaya didik baru warga tempat nikmat fasilitas programprogram lebih baik,The capital city of the archipelago has become a new cultural center for educating citizens where better program facilities can be enjoyed
85,dampak bangun ibu kota nusantara tingkat investasi,impact of building an Indonesian capital city on investment levels
86,ibu kota nusantara bangun indonesia tengah,the capital city of the archipelago wakes up central Indonesia
87,ibu kota nusantara jadi bangga warga tempat indonesia seluruh,The capital city of the archipelago is a source of pride for all Indonesian citizens
88,kepala otorita papar strategi hadir air bersih ibu kota nusantara ong gus zizan nyetrika pagi gen z,"head of authority explains strategy for providing clean water to the capital of the archipelago, ong gus zizan ironing gen z in the morning"
89,kepala otorita papar strategi hadir air bersih ibu kota nusantara ong zakir naik xhaka citilink nadiem,"head of authority explains strategy for providing clean water to the capital of the archipelago, ong zakir rises xhaka citilink nadiem"
90,ibu kota nusantara ganti jadi komplek kantor baru kalimantan,The capital of the archipelago has been replaced by a new Kalimantan office complex
91,banyak 300400 laku umkm libat rangkai ingat merdeka ke79 ri ikn nusantara laku umkm libat dapat bina damping otorita ibu kota nusantara ikn leverkusen syahrini xabi ong atalanta roma,"a lot of 300,400 SMEs are involved in the 79th independence commemoration of the Indonesian archipelago, SMEs are involved in building together with the Indonesian capital authority, IKN Leverkusen Syahrini Xabi ong Atalanta Roma"
92,bangun ikn nusantara hasil tingkat investasi,build an Indonesian archipelago with investment-grade results
93,lapang upacara 17 agustus ikn 90 tiang bendera rakit progres siap lapang ibu kota nusantara 17 agustus 2024 90 tiang bendera lapang sebut sedang rakit leverkusen syahrini xabi ong atalanta roma,ceremony field 17 August ikn 90 flag pole raft progress ready field capital of the archipelago 17 August 2024 90 field flag pole call medium raft leverkusen syahrini xabi ong atalanta roma
94,otorita ibu kota nusantara ikn target dapat investasi swasta tahun besar rp 100 triliun hingga rp 50 triliun investasi swasta masuk ikn tahun leverkusen syahrini xabi ong atalanta roma,Indonesian capital authority IKN targets to get big private investment this year IDR 100 trillion to IDR 50 trillion private investment coming IKN year Leverkusen Syahrini Xabi ong Atalanta Roma
95,hari merdeka 79 17 agustus 2024 datang bakal jadi sejarah langsung ibu kota nusantara ikn bukan istana merdeka jakarta leverkusen syahrini xabi ong atalanta roma,independence day 79 17 august 2024 comes will be history directly the capital of the archipelago iKN not the palace of independence jakarta leverkusen syahrini xabi ong atalanta roma
96,progres siap lapang ibu kota nusantara ikn 17 agustus 2024 rampung 90 tiang bendera lapang sebut sedang rakit mungkin minggu depan baru pasang leverkusen syahrini xabi ong atalanta roma,"progress ready for the capital of the archipelago, IKN 17 August 2024, 90 flag poles are ready, said they are being assembled, maybe next week will install leverkusen Syahrini Xabi ong Atalanta Roma"
97,ada ibu kota nusantara bagi wilayah daerah benuo taka camat paku kuat posisi desa penuh butuh pasar,"There is the capital of the archipelago for the Benuo Taka area, the sub-district head of Paku Kuta, a village position full of market needs"
98,sepakat dana sistem sedia air minum spam regional nota paham kena water supply infrastructure project ibu kota nusantara ikn jadi bagi aksi nyata hasil world water forum ke10,agreed to fund regional spam drinking water supply system memorandum of understanding regarding water supply infrastructure project capital city of the archipelago IKN to share concrete actions resulting from the 10th world water forum
99,sepakat dana sistem sedia air minum spam regional nota paham kena water supply infrastructure project ibu kota nusantara ikn jadi bagi aksi nyata hasil world water forum ke10,agreed to fund regional spam drinking water supply system memorandum of understanding regarding water supply infrastructure project capital city of the archipelago IKN to share concrete actions resulting from the 10th world water forum
100,mungkin banyak tahu ibu kota nusantara kabupaten najam paser utara kalimantan timur kaltim milik industri olah sert,"Many may know that the capital of the archipelago, North Najam Paser Regency, East Kalimantan, East Kalimantan belongs to the sports and sports industry"
101,harap masyarakat kalimantan timur ibu kota nusantara,"hope the people of East Kalimantan, the capital of the archipelago"
102,lihat postingan instagram wakil menteri agraria tata ruangwakil kepala badan tanah nasional wamen atrwaka bpn raja juli antoni pimpin rapat bahas ada tanah ibu kota nusantara ikn,see Instagram post deputy minister of agrarian spatial planning deputy head of national land agency wamen atrwaka bpn raja juli antoni chairs meeting to discuss land for the capital of the archipelago ikn
103,proyek dapat persero maret 2024 antara proyek lanjut jalan sumbu bangsa sisi timur tahap ii ibu kota nusantara rdf plant rorotan dki jakarta jalan tol serang panimbang seksi 3b,"The project can be Persero March 2024, including the East Side of the Nation Axis Road Phase II project, the capital of the archipelago, RDF Plant Rorotan, DKI Jakarta, Serang Panimbang toll road, section 3B"
104,pindah ibu kota nusantara indonesia emas 2045 makin dekat capai tag zakir naik vina cirebon citilink,"moving to the capital of the Indonesian archipelago, gold 2045, getting closer to achieving the Zakir Naik Vina tag, Cirebon, Citilink"
105,ada ibu kota nusantara tingkat ekonomi masyarakat umkm citilink zakir naik vina cirebon giselle pegi gus zizan fore singapore airlines ong nadiem citilink,"there is the capital of the archipelago, the economic level of the MSME community Citilink Zakir Naik Vina Cirebon Giselle Pegi Gus Zizan Fore Singapore Airlines Ong Nadem Citilink"
106,wakil menteri agraria tata ruangwakil kepala badan tanah nasional wamen atrwaka bpn raja juli antoni pimpin rapat bahas ada tanah ibu kota nusantara ikn,deputy minister of agrarian spatial planning deputy head of the national land agency wamen atrwaka bpn raja juli antoni chairs meeting to discuss land for the capital of the archipelago iKN
107,mahkota dki copot jakarta pindah ikn jadi daerah khusus ibu kota nusantara,DKI crown removed Jakarta moves icon to become special capital region of the archipelago
108,abipraya terus fokus kontribusi penuh kerja lebih keras infrastruktur nasional dukung perintah rangka bangun ibu kota nusantara ibu kota baru,Abipraya continues to focus on making a full contribution to working harder on national infrastructure to support the order to build the archipelago's new capital
109,proyek dapat persero maret 2024 antara proyek lanjut jalan sumbu bangsa sisi timur tahap ii ibu kota nusantara rdf plant rorotan dki jakarta jalan tol serang panimbang seksi 3b,"The project can be Persero March 2024, including the East Side of the Nation Axis Road Phase II project, the capital of the archipelago, RDF Plant Rorotan, DKI Jakarta, Serang Panimbang toll road, section 3B"
111,wakil menteri agraria tata ruangwakil kepala badan tanah nasional wamen atrwaka bpn raja juli antoni pimpin rapat bahas ada tanah ibu kota nusantara ikn,deputy minister of agrarian spatial planning deputy head of the national land agency wamen atrwaka bpn raja juli antoni chairs meeting to discuss land for the capital of the archipelago iKN
112,wakil menteri agraria tata ruangwakil kepala badan tanah nasional wamen atrwaka bpn raja juli antoni pimpin rapat bahas ada tanah ibu kota nusantara ikn,deputy minister of agrarian spatial planning deputy head of the national land agency wamen atrwaka bpn raja juli antoni chairs meeting to discuss land for the capital of the archipelago iKN
113,bni turut kontribusi sukses program rawan bakti bumn batch v inisiasi menteri badan usaha milik negara kbumn program tuju rehabilitasi habitat orangutan mangrove samboja ibu kota nusantara ikn kalimantan,"BNI contributes to the success of BUMN's vulnerable service program, Batch V, initiation of the Minister of State-Owned Enterprises, KBUN, program aimed at rehabilitation of Samboja mangrove orangutan habitat, capital of the archipelago, IKN Kalimantan"
114,masyarakat papua antusias sambut pindah ibu kota nusantara,Papuan people are enthusiastic about welcoming the move to the capital of the archipelago
115,wakil menteri agraria tata ruangwakil kepala badan tanah nasional wamen atrwaka bpn raja juli antoni pimpin rapat bahas ada tanah ibu kota nusantara ikn rapat langsung ruang rapat direktorat jenderal ada tanah kembang,deputy minister of agrarian spatial planning deputy head of the national land agency wamen atrwaka bpn raja juli antoni chairs the meeting to discuss land for the capital of the archipelago iKN direct meeting directorate general meeting room there is land for flowers
116,menteri hubung menhub budi karya sumadi sampai progres bangun bandara ibu kota nusantara ikn kalimantan timur,"Minister of Transportation, Minister of Transportation, Budi Karya Sumadi, progress in building the airport for the capital of the archipelago, IKN, East Kalimantan"
117,kepala otorita papar strategi hadir air bersih ibu kota nusantara ong citilink zakir naik anies singapore airlines pegi,head of authority explains strategy to provide clean water to the capital of the archipelago ong citilink zakir rise anies singapore airlines go
118,pindah ibu kota nusantara indonesia emas 2045 makin dekat capai tag vina cirebon zakir naik pegi,moving the capital city of the Indonesian archipelago gold 2045 is getting closer to achieving tag vina cirebon zakir naik pegi
119,wakil menteri agraria tata ruangwakil kepala badan tanah nasional wamen atrwaka bpn raja juli antoni pimpin rapat bahas ada tanah ibu kota nusantara ikn rapat langsung ruang rapat direktorat jenderal cont,deputy minister of agrarian spatial planning deputy head of the national land agency wamen atrwaka bpn raja juli antoni chairs meeting to discuss land for the capital of the archipelago iKn direct meeting meeting room directorate general cont
120,kementerianatrbpn wakil menteri agraria tata ruangwakil kepala badan tanah nasional wamen atrwaka bpn raja juli antoni pimpin rapat bahas ada tanah ibu kota nusantara ikn rapat langsung,ministryatrbpn deputy minister of agrarian spatial planning deputy head of the national land agency wamen atrwaka bpn raja juli antoni chairs meeting to discuss land for the capital of the archipelago iKN direct meeting
